student_id,query_index,total_queries,is_first_query,time_since_session_start_s,time_since_last_query_s,pre_duration_s,pre_code_edits,pre_code_edit_rate,pre_chars_inserted,pre_chars_deleted,pre_code_deletes,pre_net_code_growth,pre_delete_type_ratio,pre_terminal_runs,pre_terminal_errors,pre_max_consecutive_errors,pre_mean_time_between_runs_s,pre_error_self_fix,pre_error_ai_fix,pre_error_reading_time_s,pre_error_to_edit_s,pre_failed_test_count,pre_failed_test_self_fix,pre_failed_test_ai_fix,pre_failed_test_to_edit_s,pre_longest_idle_s,thinking_time_s,pre_tab_switches,pre_tab_hidden_time_s,pre_response_reading_time_s,pre_chat_to_code_latency_s,pre_time_in_editor_s,pre_time_in_terminal_s,pre_time_in_chat_s,pre_time_in_task_s,pre_time_in_tests_s,implementing_time_s,debugging_time_s,testing_time_s,seeking_help_time_s,thinking_task_s,thinking_llm_s,thinking_error_s,thinking_code_s,query_length_chars,ai_response_length_chars,test_passed_at_query,test_total_at_query,task_completed,final_test_passed,final_test_total,session_duration_s,label_post_query_improvement
11480,1,4,1,238.18,0.0,238.18,173,0.7263,150,23,23,127,0.1329,3,2,1,75.72,1,0,3.88,3.88,1,1,0,6.71,16.69,115.47,0,0.0,0.0,0.0,31.01,88.21,15.94,34.68,0.0,31.01,88.21,0.0,15.94,34.68,0.0,61.62,6.72,67,401,2,4,1,4,4,542.42,
11480,2,4,0,304.35,66.17,64.11,20,0.312,6,12,12,-6,0.6,2,1,1,47.67,1,0,36.27,36.27,1,0,0,0.0,18.81,43.52,4,20.04,6.94,6.94,0.0,12.54,1.08,0.0,0.0,0.0,12.54,0.0,1.08,0.0,7.51,42.97,0.0,8,424,3,4,1,4,4,542.42,1
11480,3,4,0,329.59,25.24,23.25,1,0.043,0,0,0,1,0.0,1,1,1,0.0,0,0,0.0,0.0,0,0,0,0.0,9.69,9.69,0,0.0,12.98,12.98,0.0,4.52,5.76,0.0,2.58,0.0,1.94,2.58,5.76,0.0,12.98,0.0,0.0,24,352,3,4,1,4,4,542.42,0
11480,4,4,0,386.81,57.22,54.86,14,0.2552,1,12,12,-11,0.8571,1,1,1,0.0,0,0,0.0,0.0,0,0,0,0.0,19.94,37.5,0,0.0,19.6,19.6,0.0,8.54,5.09,0.0,0.0,0.0,8.54,0.0,5.09,0.0,20.12,21.11,0.0,21,334,3,4,1,4,4,542.42,0
11483,1,1,1,58.92,0.0,58.92,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,29.47,52.44,0,0.0,0.0,0.0,0.0,0.0,1.27,57.65,0.0,0.0,0.0,0.0,1.27,57.65,0.0,0.0,0.0,289,169,0,0,1,4,4,406.78,
11484,1,2,1,291.0,0.0,291.0,77,0.2646,69,7,7,62,0.0909,6,1,1,6.45,1,0,28.8,28.8,1,0,0,0.0,43.6,201.41,0,0.0,0.0,0.0,60.14,3.44,26.7,107.28,0.0,60.14,3.44,0.0,26.7,107.28,0.0,47.7,45.73,80,303,3,4,1,4,4,483.91,
11484,2,2,0,318.76,27.77,24.59,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,9.37,9.37,0,0.0,24.59,0.0,0.0,0.0,8.12,0.0,0.0,0.0,0.0,0.0,8.12,0.0,16.47,0.0,0.0,44,229,3,4,1,4,4,483.91,0
11485,1,4,1,263.46,0.0,263.46,102,0.3872,77,24,24,53,0.2353,4,3,1,14.76,3,0,6.4,6.4,1,1,0,2.86,55.76,177.98,0,0.0,0.0,0.0,19.55,45.41,17.18,60.7,2.87,19.55,42.54,2.87,17.18,60.7,0.0,97.53,23.08,52,288,2,4,1,4,4,2005.18,
11485,2,4,0,493.58,230.12,227.7,156,0.6851,85,70,70,15,0.4487,8,3,1,3.8,3,0,4.44,4.44,1,1,0,12.8,29.56,115.12,0,0.0,35.28,35.28,0.0,139.97,23.2,0.0,4.25,0.0,135.72,4.25,23.2,0.0,35.28,29.25,0.0,77,339,3,4,1,4,4,2005.18,1
11485,3,4,0,648.89,155.32,153.22,133,0.8681,86,43,43,43,0.3233,18,2,1,3.38,1,0,1.99,1.99,3,3,0,4.24,4.81,41.94,0,0.0,8.57,8.57,0.0,114.26,15.9,0.0,3.51,0.0,110.75,3.51,15.9,0.0,8.57,14.48,0.0,59,304,3,4,1,4,4,2005.18,0
11485,4,4,0,667.35,18.46,16.19,4,0.2471,2,2,2,0,0.5,4,1,1,0.0,0,0,0.0,0.0,0,0,0,0.0,4.83,9.21,0,0.0,5.58,5.58,0.0,3.66,1.84,0.0,0.0,0.0,3.66,0.0,1.84,0.0,5.58,5.11,0.0,11,503,3,4,1,4,4,2005.18,0
11487,1,4,1,122.04,0.0,122.04,41,0.336,35,6,6,29,0.1463,2,2,1,0.39,0,0,0.36,0.0,0,0,0,0.0,17.83,79.71,0,0.0,0.0,0.0,74.7,0.0,8.83,4.26,0.0,74.7,0.0,0.0,8.83,4.26,0.0,0.0,34.25,49,283,0,0,1,4,4,510.89,
11487,2,4,0,167.03,44.99,43.19,17,0.3936,15,2,2,13,0.1176,1,0,0,0.0,0,0,0.0,0.0,1,1,0,5.5,9.38,12.8,2,2.9,9.9,9.9,0.0,9.33,12.94,0.0,0.0,0.0,9.33,0.0,12.94,0.0,9.9,11.02,0.0,44,268,2,4,1,4,4,510.89,1
11487,3,4,0,252.15,85.12,83.05,20,0.2408,13,7,7,6,0.35,3,0,0,18.82,0,0,0.0,0.0,3,2,0,4.15,23.84,60.11,0,0.0,21.36,21.36,0.0,22.08,7.43,0.0,0.0,0.0,22.08,0.0,7.43,0.0,21.36,32.17,0.0,32,345,1,4,1,4,4,510.89,0
11487,4,4,0,263.41,11.26,9.12,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,5.32,5.32,0,0.0,9.12,0.0,0.0,0.0,3.49,0.0,0.0,0.0,0.0,0.0,3.49,0.0,5.63,0.0,0.0,14,321,1,4,1,4,4,510.89,0
11489,1,4,1,437.33,0.0,437.33,163,0.3727,97,66,66,31,0.4049,3,1,1,18.95,1,0,12.62,12.62,2,2,0,16.81,91.14,327.0,2,91.14,0.0,0.0,27.98,51.98,148.21,70.48,0.0,27.98,51.98,0.0,148.21,70.48,0.0,104.47,34.2,85,221,2,4,0,3,4,936.65,
11489,2,4,0,449.69,12.36,11.22,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,8.01,8.01,0,0.0,11.22,0.0,0.0,0.0,2.61,0.0,0.0,0.0,0.0,0.0,2.61,0.0,8.62,0.0,0.0,7,324,2,4,0,3,4,936.65,0
11489,3,4,0,521.93,72.24,70.56,23,0.326,21,2,2,19,0.087,2,2,1,0.64,0,0,0.62,0.0,0,0,0,0.0,18.01,44.55,0,0.0,33.36,33.36,0.0,23.8,0.61,0.0,0.0,0.0,23.8,0.0,0.61,0.0,33.36,12.79,0.0,1,248,2,4,0,3,4,936.65,0
11489,4,4,0,761.76,239.83,237.59,40,0.1684,21,19,19,2,0.475,9,8,1,25.53,7,0,6.77,7.07,1,1,0,51.76,52.39,159.18,6,87.39,8.19,8.19,0.0,106.64999999999999,7.02,0.0,3.69,0.0,102.96,3.69,7.02,0.0,8.19,115.73,0.0,28,212,2,4,0,3,4,936.65,0
11491,1,4,1,208.57,0.0,208.57,41,0.1966,35,5,5,30,0.122,5,2,1,20.67,2,0,20.31,37.08,2,2,0,30.49,25.39,135.58,0,0.0,0.0,0.0,0.0,45.85,27.17,45.69,7.14,0.0,38.71,7.14,27.17,45.69,33.85,56.01,0.0,84,367,3,4,1,4,4,554.44,
11491,2,4,0,235.27,26.7,22.75,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,6.49,9.77,0,0.0,22.75,0.0,0.0,0.0,12.98,0.0,0.0,0.0,0.0,0.0,12.98,0.0,9.77,0.0,0.0,27,250,3,4,1,4,4,554.44,0
11491,3,4,0,253.42,18.15,16.23,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,14.02,14.02,0,0.0,16.23,0.0,0.0,0.0,1.71,0.0,0.0,0.0,0.0,0.0,1.71,0.0,14.52,0.0,0.0,11,523,3,4,1,4,4,554.44,0
11491,4,4,0,393.37,139.94,136.71,58,0.4242,57,1,1,56,0.0172,13,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,20.14,75.69,14,32.17,67.25,67.25,0.0,25.31,22.57,0.0,0.0,0.0,25.31,0.0,22.57,0.0,62.7,26.13,0.0,45,312,4,4,1,4,4,554.44,1
11493,1,2,1,150.69,0.0,150.69,9,0.0597,6,0,0,9,0.0,26,0,0,0.51,0,0,0.0,0.0,0,0,0,0.0,26.88,111.54,2,11.29,0.0,0.0,42.29,12.63,6.15,49.67,12.63,42.29,0.0,12.63,6.15,49.67,0.0,0.0,39.95,21,252,4,4,1,4,4,292.59,
11493,2,2,0,168.4,17.71,16.15,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,11.34,11.34,0,0.0,16.15,0.0,0.0,0.0,4.42,0.0,0.0,0.0,0.0,0.0,4.42,0.0,11.73,0.0,0.0,28,375,4,4,1,4,4,292.59,0
11494,1,3,1,807.11,0.0,807.11,648,0.8029,507,139,139,368,0.2145,55,3,1,8.04,3,0,24.87,33.83,4,3,0,42.69,74.82,411.33,86,111.74,0.0,0.0,128.47,232.5,10.24,75.0,25.69,128.47,206.81,25.69,10.24,75.0,0.0,328.07,32.83,28,195,3,4,0,3,4,870.99,
11494,2,3,0,845.84,38.73,36.99,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,27.67,27.67,0,0.0,36.99,0.0,0.0,0.0,4.75,0.0,0.0,0.0,0.0,0.0,4.75,0.0,32.24,0.0,0.0,420,251,3,4,0,3,4,870.99,0
11494,3,3,0,860.02,14.18,12.63,2,0.1583,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,4.69,4.69,0,0.0,4.69,4.69,0.0,0.0,5.21,0.0,0.0,0.0,0.0,0.0,5.21,0.0,7.42,0.0,0.0,211,362,3,4,0,3,4,870.99,0
11496,1,5,1,546.27,0.0,546.27,299,0.5474,239,55,55,184,0.1839,29,16,1,15.98,15,0,13.8,20.38,1,1,0,7.39,25.52,283.46,16,60.4,0.0,0.0,0.0,300.73,15.72,110.3,83.64,0.0,217.09,83.64,15.72,110.3,0.0,119.52,0.0,32,255,0,4,0,0,4,919.94,
11496,2,5,0,556.21,9.95,8.18,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,6.77,6.77,0,0.0,8.18,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.49,0.0,7.69,0.0,0.0,3,284,0,4,0,0,4,919.94,0
11496,3,5,0,589.98,33.77,31.8,3,0.0943,0,2,2,-2,0.6667,2,2,1,0.58,0,0,0.57,0.0,0,0,0,0.0,10.97,10.97,0,0.0,10.97,10.97,0.0,2.66,11.82,0.0,0.0,0.0,2.66,0.0,11.82,0.0,11.46,5.86,0.0,12,350,0,4,0,0,4,919.94,0
11496,4,5,0,725.77,135.79,133.58,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,79.0,91.32,0,0.0,133.58,0.0,0.0,0.0,52.77,0.0,0.0,0.0,0.0,0.0,52.77,0.0,80.81,0.0,0.0,59,290,0,4,0,0,4,919.94,0
11496,5,5,0,847.36,121.59,119.73,3,0.0251,1,2,2,-1,0.6667,3,3,1,6.95,1,0,6.44,12.38,0,0,0,0.0,23.3,92.27,2,13.49,40.06,40.06,0.0,3.66,25.8,0.0,0.0,0.0,3.66,0.0,25.8,0.0,40.06,50.22,0.0,42,383,0,4,0,0,4,919.94,0
11498,1,4,1,117.64,0.0,117.64,1,0.0085,1,0,0,1,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,36.52,84.34,0,0.0,0.0,0.0,7.03,0.0,25.12,85.49,0.0,7.03,0.0,0.0,25.12,85.49,0.0,0.0,0.0,33,103,0,0,1,4,4,423.09,
11498,2,4,0,142.99,25.35,24.09,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,12.88,18.42,0,0.0,24.09,0.0,0.0,0.0,5.66,0.0,0.0,0.0,0.0,0.0,5.66,0.0,18.42,0.0,0.0,24,185,0,0,1,4,4,423.09,0
11498,3,4,0,162.56,19.57,17.97,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,7.44,12.34,0,0.0,17.97,0.0,0.0,0.0,5.63,0.0,0.0,0.0,0.0,0.0,5.63,0.0,12.34,0.0,0.0,38,243,0,0,1,4,4,423.09,0
11498,4,4,0,213.9,51.34,49.65,61,1.2287,59,2,2,57,0.0328,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,7.58,17.71,0,0.0,7.22,7.22,28.3,0.0,4.12,0.0,0.0,28.3,0.0,0.0,4.12,0.0,7.22,0.0,9.99,32,203,0,0,1,4,4,423.09,0
11499,1,1,1,67.85,0.0,67.85,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,18.33,38.26,0,0.0,0.0,0.0,0.0,0.0,14.9,52.95,0.0,0.0,0.0,0.0,14.9,52.95,0.0,0.0,0.0,53,245,0,0,1,4,4,334.49,
11500,1,4,1,176.52,0.0,176.52,17,0.0963,14,3,3,11,0.1765,1,1,1,0.0,1,0,35.82,35.82,0,0,0,0.0,32.2,147.87,0,0.0,0.0,0.0,0.0,17.04,4.37,109.72,0.0,0.0,17.04,0.0,4.37,109.72,0.0,45.4,0.0,25,107,0,0,1,4,4,564.29,
11500,2,4,0,190.48,13.96,12.96,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,9.36,9.36,0,0.0,12.96,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,12.66,0.0,0.0,394,183,0,0,1,4,4,564.29,0
11500,3,4,0,206.43,15.95,14.65,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,9.48,9.48,0,0.0,14.65,0.0,0.0,0.0,4.17,0.0,0.0,0.0,0.0,0.0,4.17,0.0,10.48,0.0,0.0,28,526,0,0,1,4,4,564.29,0
