student_id,query_index,total_queries,is_first_query,time_since_session_start_s,time_since_last_query_s,pre_duration_s,pre_code_edits,pre_code_edit_rate,pre_chars_inserted,pre_chars_deleted,pre_code_deletes,pre_net_code_growth,pre_delete_type_ratio,pre_terminal_runs,pre_terminal_errors,pre_max_consecutive_errors,pre_mean_time_between_runs_s,pre_error_self_fix,pre_error_ai_fix,pre_error_reading_time_s,pre_error_to_edit_s,pre_failed_test_count,pre_failed_test_self_fix,pre_failed_test_ai_fix,pre_failed_test_to_edit_s,pre_longest_idle_s,thinking_time_s,pre_tab_switches,pre_tab_hidden_time_s,pre_response_reading_time_s,pre_chat_to_code_latency_s,pre_time_in_editor_s,pre_time_in_terminal_s,pre_time_in_chat_s,pre_time_in_task_s,pre_time_in_tests_s,implementing_time_s,debugging_time_s,testing_time_s,seeking_help_time_s,thinking_task_s,thinking_llm_s,thinking_error_s,thinking_code_s,query_length_chars,ai_response_length_chars,test_passed_at_query,test_total_at_query,post_response_implementing_s,post_response_debugging_s,post_response_thinking_s,post_response_seeking_help_s,post_response_testing_s,post_thinking_task_s,post_thinking_llm_s,post_thinking_error_s,post_thinking_code_s,post_code_edits,post_code_edit_rate,post_terminal_runs,post_terminal_errors,post_error_self_fix,task_completed,final_test_passed,final_test_total,session_duration_s,label_query_no_effort
12147,1,6,1,88.39,0.0,88.39,62,0.7015,46,16,16,30,0.2581,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,24.95,47.35,0,0.0,0.0,0.0,32.16,0.0,8.15,48.08,0.0,32.16,0.0,0.0,8.15,48.08,0.0,0.0,0.0,38,304,0,0,3.99,0.0,19.06,11.23,0.0,0,8.09,0.0,10.97,21,0.6127,0,0,0,0,0,0,324.78,0.0
12147,2,6,0,124.32,35.94,34.27,21,0.6127,17,4,4,13,0.1905,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,7.87,15.41,0,0.0,8.09,8.09,3.99,0.0,11.23,0.0,0.0,3.99,0.0,0.0,11.23,0.0,8.09,0.0,10.97,36,272,0,0,0.0,0.0,8.73,11.38,0.0,0,8.73,0.0,0.0,0,0.0,0,0,0,0,0,0,324.78,1.0
12147,3,6,0,146.01,21.69,20.11,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,6.12,6.12,0,0.0,20.11,0.0,0.0,0.0,11.38,0.0,0.0,0.0,0.0,0.0,11.38,0.0,8.73,0.0,0.0,27,346,0,0,14.65,0.0,5.2,13.45,0.0,0,5.2,0.0,0.0,50,1.5016,0,0,0,0,0,0,324.78,0.0
12147,4,6,0,180.7,34.69,33.3,50,1.5016,45,5,5,40,0.1,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,4.67,4.67,0,0.0,5.2,5.2,14.65,0.0,13.45,0.0,0.0,14.65,0.0,0.0,13.45,0.0,5.2,0.0,0.0,25,296,0,0,0.0,0.0,11.88,7.32,0.0,0,11.88,0.0,0.0,0,0.0,0,0,0,0,0,0,324.78,1.0
12147,5,6,0,201.12,20.42,19.21,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,8.14,15.27,0,0.0,19.21,0.0,0.0,0.0,7.32,0.0,0.0,0.0,0.0,0.0,7.32,0.0,11.88,0.0,0.0,12,389,0,0,1.34,0.0,15.29,3.75,0.0,0,9.62,0.0,5.67,8,0.3927,0,0,0,0,0,0,324.78,0.0
12147,6,6,0,223.18,22.06,20.37,8,0.3927,7,1,1,6,0.125,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,9.1,13.6,0,0.0,9.62,9.62,1.34,0.0,3.75,0.0,0.0,1.34,0.0,0.0,3.75,0.0,9.62,0.0,5.67,18,289,0,0,12.87,0.0,87.49,0.0,0.0,0,12.6,0.0,74.9,42,0.4185,0,0,0,0,0,0,324.78,
12254,1,2,1,242.18,0.0,242.18,177,0.7309,156,17,17,139,0.096,5,5,1,30.65,4,0,20.07,20.07,0,0,0,0,22.21,158.3,0,0.0,0.0,0.0,55.68,22.05,5.97,29.37,0.0,55.68,22.05,0.0,5.97,29.37,0.0,85.63,43.48,42,532,0,0,0.0,22.44,26.91,4.16,0.0,0,16.7,10.21,0.0,36,0.6728,2,2,1,0,0,0,317.09,0.0
12254,2,2,0,297.74,55.56,53.51,36,0.6728,28,8,8,20,0.2222,2,2,1,27.25,1,0,10.18,10.18,0,0,0,0,16.11,23.65,0,0.0,16.7,16.7,0.0,22.44,4.16,0.0,0.0,0.0,22.44,0.0,4.16,0.0,16.7,10.21,0.0,24,557,0,0,0.0,0.0,17.25,0.0,0.0,0,17.25,0.0,0.0,0,0.0,0,0,0,0,0,0,317.09,
12256,1,1,1,229.68,0.0,229.68,286,1.2452,253,31,31,222,0.1084,3,3,1,48.06,2,0,10.25,10.25,0,0,0,0,13.37,105.67,14,25.31,0.0,0.0,37.93,54.65,4.38,31.02,0.0,37.93,54.65,0.0,4.38,31.02,0.0,45.09,56.62,24,206,0,0,0.0,3.47,313.54,7.25,0.0,0,288.42,25.11,0.0,6,0.0185,1,1,0,0,0,0,555.18,
12257,1,3,1,211.48,0.0,211.48,197,0.9315,169,24,24,145,0.1218,5,5,1,14.08,4,0,7.88,7.88,0,0,0,0,11.7,85.06,20,45.75,0.0,0.0,69.08,20.0,1.74,23.14,2.19,69.08,17.81,2.19,1.74,23.14,0.0,42.48,55.05,11,313,0,0,0.0,0.0,14.47,8.47,0.0,0,14.47,0.0,0.0,0,0.0,0,0,0,0,0,0,498.78,1.0
